"Name","Round","System","Parameter","Value","Month"
"GN2C","Round 3 (May)","Hand pump","Ecoli(CFU/100mL)","Low","May-20"
"GN2M","Round 3 (May)","Mechanized borehole","Ecoli(CFU/100mL)","High","May-20"
"DA1","Round 3 (May)","Hand pump","Ecoli(CFU/100mL)","Low","May-20"
"DA2","Round 3 (May)","Hand pump","Ecoli(CFU/100mL)","High","May-20"
"DJ","Round 3 (May)","Hand pump","Ecoli(CFU/100mL)","High","May-20"
"KEN","Round 3 (May)","Mechanized borehole","Ecoli(CFU/100mL)","High","May-20"
"OLA","Round 3 (May)","Piped system","Ecoli(CFU/100mL)","Intermediate","May-20"
"KPS","Round 3 (May)","Piped system","Ecoli(CFU/100mL)","High","May-20"
"NR","Round 3 (May)","Piped system","Ecoli(CFU/100mL)","Low","May-20"
"NPS","Round 3 (May)","Piped system","Ecoli(CFU/100mL)","Intermediate","May-20"
"GN2C","Round 4 (June)","Hand pump","Ecoli(CFU/100mL)","Intermediate","Jun-20"
"GN2M","Round 4 (June)","Mechanized borehole","Ecoli(CFU/100mL)","Low","Jun-20"
"DA1","Round 4 (June)","Hand pump","Ecoli(CFU/100mL)","Intermediate","Jun-20"
"DA2","Round 4 (June)","Hand pump","Ecoli(CFU/100mL)","Low","Jun-20"
"DJ","Round 4 (June)","Hand pump","Ecoli(CFU/100mL)","Low","Jun-20"
"KEN","Round 4 (June)","Mechanized borehole","Ecoli(CFU/100mL)","Low","Jun-20"
"OLA","Round 4 (June)","Piped system","Ecoli(CFU/100mL)","Intermediate","Jun-20"
"KPS","Round 4 (June)","Piped system","Ecoli(CFU/100mL)","Intermediate","Jun-20"
"NR","Round 4 (June)","Piped system","Ecoli(CFU/100mL)","Low","Jun-20"
"NPS","Round 4 (June)","Piped system","Ecoli(CFU/100mL)","Low","Jun-20"
"GN2C","Round 5 (July)","Hand pump","Ecoli(CFU/100mL)","High","Jul-20"
"GN2M","Round 5 (July)","Mechanized borehole","Ecoli(CFU/100mL)","High","Jul-20"
"DA1","Round 5 (July)","Hand pump","Ecoli(CFU/100mL)","Low","Jul-20"
"DA2","Round 5 (July)","Hand pump","Ecoli(CFU/100mL)","Low","Jul-20"
"DJ","Round 5 (July)","Hand pump","Ecoli(CFU/100mL)","Intermediate","Jul-20"
"KEN","Round 5 (July)","Mechanized borehole","Ecoli(CFU/100mL)","Intermediate","Jul-20"
"OLA","Round 5 (July)","Piped system","Ecoli(CFU/100mL)","Intermediate","Jul-20"
"KPS","Round 5 (July)","Piped system","Ecoli(CFU/100mL)","Low","Jul-20"
"NR","Round 5 (July)","Piped system","Ecoli(CFU/100mL)","Low","Jul-20"
"NPS","Round 5 (July)","Piped system","Ecoli(CFU/100mL)","Intermediate","Jul-20"
